Match ID,Name,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout
654,Montel Jackson,-700,500,14.28571429,500.0,1/25/2020,"Raleigh, North Carolina, USA", USA,Red,False,Bantamweight,MALE,3,0,1,0,,0.47,0.0,2.5,0.31,1,1,6,0,0,1,0,0,0,0,1,Orthodox,172.72,175.26,135,0,2,0,,0.49,0.3,2.73,0.88,2,1,7,0,0,0,1,0,1,0,2,Southpaw,177.8,190.5,135,27,25,0,-1,-1,-1,0,-1,0,0,-1,-5.08,-15.24,2,0.0,-0.3,-0.23,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,1.0,0.0,75.0,7.0,103.0,28.0,0.72,0.25,96.0,8.0,130.0,31.0,11.0,1.0,15.0,8.0,0.73,0.12,0.0,3.0,3.0,1.0,0.0,0.0
655,Sara McMann,-125,105,80.0,105.0,1/25/2020,"Raleigh, North Carolina, USA", USA,Red,False,Women's Bantamweight,FEMALE,3,0,2,0,,0.57,0.2,0.83,0.33,2,3,19,0,0,0,4,0,0,0,4,Orthodox,170.18,165.1,135,2,0,0,,0.44,0.5,4.67,0.64,5,5,31,1,0,1,4,1,3,0,9,Orthodox,167.64,167.64,135,39,37,2,2,-3,-5,2,-12,-1,-1,-3,2.54,-2.54,2,0.0,-0.3,-3.84,0,1,11,10,,,,10.0,,,,,,,,,,,,,11.0,,,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,0.0,0.0,38.0,1.0,50.0,5.0,0.76,0.2,62.0,36.0,84.0,51.0,3.0,0.0,5.0,0.0,0.6,0.0,1.0,0.0,7.0,0.0,0.0,0.0
656,Brett Johns,-130,110,76.92307692,110.0,1/25/2020,"Raleigh, North Carolina, USA", USA,Red,False,Bantamweight,MALE,3,0,0,0,,0.59,2.5,3.67,0.6,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,178.0,135,2,0,0,,0.45,0.5,3.72,0.48,3,2,13,0,0,0,2,0,1,0,3,Orthodox,170.18,180.34,135,27,28,2,0,-3,-3,2,-13,0,0,-1,-5.08,-2.34,-1,0.0,2.0,-0.05,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,3.0,2:53,773.0,0.0,0.0,36.0,26.0,47.0,44.0,0.76,0.59,65.0,43.0,80.0,66.0,6.0,5.0,9.0,7.0,0.66,0.71,3.0,0.0,4.0,2.0,1.0,0.0
657,Herbert Burns,100,-120,100.0,83.33333333,1/25/2020,"Raleigh, North Carolina, USA", USA,Red,False,Featherweight,MALE,3,0,0,0,,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,182.88,145,0,0,0,,0.45,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,187.96,145,31,31,0,0,0,0,0,0,0,0,0,0.0,-5.08,0,0.0,-6.0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Knee,1.0,2:43,163.0,1.0,0.0,7.0,4.0,17.0,9.0,0.41,0.44,7.0,6.0,17.0,11.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
658,Joanna Jedrzejczyk,-300,250,33.33333333,250.0,10/12/2019,"Tampa, Florida, USA", USA,Red,False,Women's Strawweight,FEMALE,5,0,3,0,3.35,0.53,1.2,1.88,0.5,4,2,23,0,0,1,2,0,4,0,7,Orthodox,160.02,157.48,115,1,0,0,6.18,0.47,0.1,0.3,0.62,8,3,45,9,0,1,6,2,0,0,9,Orthodox,167.64,165.1,125,32,33,1,3,-4,-2,1,-22,-9,-2,4,-7.62,-7.62,-1,-2.83,1.1,1.58,0,1,7,5,,,5.0,,,,,,,,,,,,,7.0,,,,,,,,,,,Red,U-DEC,,5.0,5:00,1500.0,0.0,0.0,180.0,58.0,300.0,160.0,0.6,0.36,226.0,71.0,347.0,174.0,3.0,1.0,5.0,9.0,0.6,0.11,1.0,1.0,0.0,1.0,0.0,0.0
659,Cub Swanson,155,-175,155.0,57.14285714,10/12/2019,"Tampa, Florida, USA", USA,Red,False,Featherweight,MALE,3,0,1,0,5.15,0.41,0.9,0.88,0.25,1,0,1,0,0,0,0,0,1,0,1,Southpaw,175.26,177.8,145,4,1,0,4.59,0.49,0.5,1.06,0.5,6,10,67,0,0,1,8,4,2,0,15,Orthodox,172.72,177.8,145,35,31,4,0,-5,-14,10,-66,0,-4,-1,2.54,0.0,4,0.56,0.4,-0.18,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,0.0,0.0,135.0,86.0,288.0,200.0,0.46,0.43,143.0,109.0,296.0,225.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660,Niko Price,-145,125,68.96551724,125.0,10/12/2019,"Tampa, Florida, USA", USA,Red,False,Welterweight,MALE,3,3,0,0,4.13,0.39,0.7,0.26,0.33,5,4,26,0,0,0,4,2,3,0,9,Orthodox,190.5,193.04,155,1,0,0,3.06,0.34,1.3,1.08,0.23,2,3,14,0,0,0,0,3,2,0,5,Orthodox,182.88,193.04,170,30,32,-2,0,3,4,-1,12,0,-1,1,7.62,0.0,-2,1.07,-0.6,-0.82,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Kick,1.0,1:44,104.0,1.0,0.0,11.0,9.0,22.0,18.0,0.5,0.5,15.0,10.0,28.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
661,Amanda Ribas,-185,160,54.05405405,160.0,10/12/2019,"Tampa, Florida, USA", USA,Blue,False,Women's Strawweight,FEMALE,3,0,1,0,4.29,0.38,1.4,2.71,0.57,1,0,2,0,0,0,0,0,1,0,1,Orthodox,160.02,167.64,115,0,2,0,3.24,0.32,0.9,0.46,0.08,2,0,4,0,0,1,0,0,1,0,2,Orthodox,162.56,160.02,115,26,26,0,-1,-1,-1,0,-2,0,0,0,-2.54,7.62,0,1.05,0.5,2.25,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,0.0,0.0,20.0,74.0,145.0,206.0,0.13,0.35,50.0,84.0,175.0,216.0,0.0,2.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
662,Matt Frevola,130,-150,130.0,66.66666667,10/12/2019,"Tampa, Florida, USA", USA,Red,False,Lightweight,MALE,3,0,2,0,3.7,0.45,1.0,1.25,0.31,2,1,10,0,0,0,1,1,1,0,3,Southpaw,190.5,185.42,155,0,1,1,3.19,0.39,1.4,3.3,0.4,1,1,7,0,0,0,1,0,0,0,1,Orthodox,175.26,180.34,155,29,26,0,1,1,2,0,3,0,1,1,15.24,5.08,3,0.51,-0.4,-2.05,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,0.0,0.0,48.0,51.0,110.0,120.0,0.43,0.42,51.0,60.0,115.0,129.0,4.0,1.0,7.0,2.0,0.57,0.5,0.0,2.0,1.0,1.0,0.0,3.0
663,Eryk Anders,-140,120,71.42857143,120.0,10/12/2019,"Tampa, Florida, USA", USA,Red,False,Middleweight,MALE,3,0,1,0,2.73,0.42,1.8,2.56,0.41,2,3,15,0,0,0,0,1,4,0,5,Southpaw,185.42,195.58,185,0,1,0,3.06,0.45,0.1,1.51,0.4,2,4,22,0,0,0,1,3,0,0,4,Southpaw,185.42,190.5,205,32,31,0,0,0,1,1,-7,0,-2,4,0.0,5.08,1,-0.33,1.7,1.05,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,0.0,0.0,64.0,72.0,178.0,202.0,0.35,0.35,64.0,72.0,178.0,202.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
664,Ryan Spann,-175,155,57.14285714,155.0,10/12/2019,"Tampa, Florida, USA", USA,Red,False,Light Heavyweight,MALE,3,0,1,0,3.21,0.54,0.2,3.03,0.39,2,3,16,0,0,0,4,0,0,0,4,Orthodox,182.88,190.5,205,0,2,0,3.26,0.43,2.4,0.6,0.33,2,0,4,0,0,0,1,1,0,0,2,Orthodox,195.58,200.66,205,28,29,0,-1,0,2,-3,12,0,-1,0,-12.7,-10.16,-1,-0.05,-2.2,2.43,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke,2.0,2:01,421.0,0.0,0.0,17.0,17.0,48.0,37.0,0.35,0.45,17.0,22.0,48.0,42.0,0.0,2.0,1.0,3.0,0.0,0.66,1.0,0.0,0.0,0.0,0.0,0.0
665,Mike Davis,-290,245,34.48275862,245.0,10/12/2019,"Tampa, Florida, USA", USA,Red,False,Lightweight,MALE,3,1,0,0,3.97,0.37,0.0,0.5,0.33,0,1,3,0,0,0,0,0,0,0,0,Orthodox,185.42,190.5,155,1,0,0,5.87,0.54,0.0,0.77,0.33,0,1,2,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,155,27,27,0,0,0,0,0,1,0,0,0,2.54,7.62,0,-1.9,0.0,-0.27,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,3.0,4:45,885.0,2.0,0.0,139.0,88.0,222.0,242.0,0.62,0.36,141.0,89.0,224.0,243.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
666,Alex Morono,-145,125,68.96551724,125.0,10/12/2019,"Tampa, Florida, USA", USA,Blue,False,Welterweight,MALE,3,0,2,0,4.42,0.39,0.6,0.0,0.0,2,2,19,0,0,1,2,1,1,0,5,Orthodox,180.34,182.88,170,0,1,0,4.22,0.49,0.6,1.89,0.54,1,4,19,0,1,0,1,1,0,0,3,Orthodox,180.34,193.04,170,33,29,0,1,1,2,2,0,0,0,1,0.0,-10.16,4,0.2,0.0,-1.89,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,0.0,1.0,75.0,81.0,166.0,255.0,0.45,0.31,94.0,87.0,189.0,261.0,4.0,0.0,5.0,1.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0
667,Deiveson Figueiredo,-175,155,57.14285714,155.0,10/12/2019,"Tampa, Florida, USA", USA,Red,False,Flyweight,MALE,3,0,1,0,3.49,0.46,1.2,4.14,0.57,2,6,27,1,0,0,3,0,1,0,4,Southpaw,170.18,167.64,135,0,1,0,2.44,0.52,2.4,1.78,0.47,4,1,15,0,0,1,1,3,0,0,5,Orthodox,165.1,172.72,125,31,32,0,0,-2,-1,-5,12,1,-3,1,5.08,-5.08,-1,1.05,-1.2,2.36,0,1,6,3,,,,,,,,,,,,3.0,,,,,,,,,,,,,6.0,,Red,SUB,Guillotine Choke,1.0,3:08,188.0,0.0,0.0,8.0,26.0,13.0,38.0,0.61,0.68,8.0,33.0,13.0,45.0,0.0,1.0,1.0,3.0,0.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0
668,Marlon Vera,-140,120,71.42857143,120.0,10/12/2019,"Tampa, Florida, USA", USA,Red,False,Bantamweight,MALE,3,0,1,0,3.32,0.39,0.0,0.26,0.5,1,1,9,0,0,1,1,0,0,0,2,Southpaw,172.72,190.5,135,0,4,0,3.43,0.47,1.4,0.76,0.38,4,4,28,0,0,0,1,3,4,0,8,Switch,172.72,177.8,135,26,31,0,-3,-3,-6,3,-19,0,-3,-4,0.0,12.7,-5,-0.11,-1.4,-0.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Elbows,3.0,3:17,797.0,0.0,0.0,80.0,50.0,133.0,131.0,0.6,0.38,87.0,67.0,140.0,148.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
669,Miguel Baeza,-250,210,40.0,210.0,10/12/2019,"Tampa, Florida, USA", USA,Red,False,Welterweight,MALE,3,2,0,0,3.59,0.38,0.0,0.93,1.0,0,2,5,0,0,0,0,0,0,0,0,Orthodox,180.34,182.88,170,0,0,0,4.26,0.58,1.3,0.67,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,187.96,170,27,31,-2,0,0,0,-2,5,0,0,0,-7.62,-5.08,-4,-0.67,-1.3,0.26,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Kick,2.0,2:32,452.0,1.0,0.0,35.0,8.0,61.0,42.0,0.57,0.19,35.0,8.0,61.0,42.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
670,Marvin Vettori,-370,310,27.02702703,310.0,10/12/2019,"Tampa, Florida, USA", USA,Red,False,Middleweight,MALE,3,0,2,0,4.49,0.43,0.0,2.25,0.33,2,2,18,0,0,0,4,0,0,0,4,Orthodox,185.42,187.96,185,0,1,1,4.05,0.41,0.6,1.43,0.45,1,2,16,0,0,0,2,0,1,0,3,Southpaw,182.88,187.96,185,26,31,0,1,1,1,0,2,0,0,-1,2.54,0.0,-5,0.44,-0.6,0.82,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,0.0,0.0,85.0,39.0,205.0,185.0,0.41,0.21,86.0,39.0,206.0,185.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
671,JJ Aldrich,-150,130,66.66666667,130.0,10/12/2019,"Tampa, Florida, USA", USA,Red,False,Women's Flyweight,FEMALE,3,2,0,0,4.08,0.41,0.0,0.7,0.5,1,2,7,0,0,0,1,0,0,0,1,Orthodox,165.1,170.18,125,1,0,0,3.88,0.4,0.0,0.31,0.25,3,2,14,0,0,0,3,0,0,0,3,Southpaw,165.1,170.18,125,27,27,-1,0,-2,-2,0,-7,0,0,0,0.0,0.0,0,0.2,0.0,0.39,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,0.0,0.0,74.0,54.0,160.0,147.0,0.46,0.36,78.0,60.0,164.0,153.0,1.0,1.0,2.0,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
672,Yair Rodriguez,-140,120,71.42857143,120.0,10/18/2019,"Boston, Massachusetts, USA", USA,Red,False,Featherweight,MALE,3,2,0,0,3.09,0.4,0.4,1.18,0.38,3,15,80,0,0,1,6,8,0,0,15,Orthodox,175.26,180.34,145,0,1,0,4.33,0.45,0.9,0.9,0.29,6,1,26,0,0,2,2,3,0,0,7,Orthodox,180.34,180.34,145,27,33,-2,-1,-3,8,-14,54,0,5,0,-5.08,0.0,-6,-1.24,-0.5,0.28,0,1,8,7,,,,,,,,,,7.0,,,,,,,,,,,,,8.0,,,,Red,U-DEC,,3.0,5:00,900.0,0.0,0.0,96.0,50.0,170.0,95.0,0.56,0.52,136.0,99.0,213.0,156.0,0.0,3.0,3.0,4.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0
673,Dominick Reyes,-200,170,50.0,170.0,10/18/2019,"Boston, Massachusetts, USA", USA,Red,False,Light Heavyweight,MALE,5,1,0,0,3.14,0.42,1.0,3.82,0.5,9,4,35,5,0,0,3,4,3,0,10,Orthodox,187.96,198.12,205,0,5,0,5.03,0.52,0.4,0.39,0.16,5,0,9,0,0,1,1,2,1,0,5,Southpaw,193.04,195.58,205,29,35,-1,-5,4,5,-4,26,5,2,2,-5.08,2.54,-6,-1.89,0.6,3.43,0,1,,4,,,,,,4.0,,,,,,,,,,,,,,8.0,,,,,,,Red,KO/TKO,Punches,1.0,1:43,103.0,1.0,0.0,8.0,3.0,11.0,6.0,0.72,0.5,9.0,10.0,12.0,13.0,0.0,1.0,0.0,4.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
674,Joe Lauzon,170,-200,170.0,50.0,10/18/2019,"Boston, Massachusetts, USA", USA,Red,False,Lightweight,MALE,3,0,0,0,11.21,0.57,0.0,4.48,0.5,0,0,0,0,0,0,0,0,0,0,0,Switch,182.88,180.34,155,3,0,0,2.84,0.39,2.0,2.39,0.45,3,12,52,0,0,1,1,5,7,0,14,Orthodox,177.8,180.34,155,35,27,3,0,-3,-14,12,-52,0,-5,-7,5.08,0.0,8,8.37,-2.0,2.09,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1.0,1:33,93.0,0.0,0.0,25.0,8.0,36.0,19.0,0.69,0.42,28.0,8.0,39.0,19.0,1.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0
675,Maycee Barber,-170,150,58.82352941,150.0,10/18/2019,"Boston, Massachusetts, USA", USA,Red,False,Women's Flyweight,FEMALE,3,0,2,0,2.18,0.5,1.3,3.44,0.47,2,1,8,0,0,0,0,1,3,0,4,Orthodox,165.1,160.02,125,0,2,0,3.15,0.6,0.3,0.95,0.3,2,0,4,0,0,0,0,4,0,0,2,Switch,165.1,165.1,125,21,24,0,0,0,2,-1,4,0,-3,3,0.0,-5.08,-3,-0.97,1.0,2.49,0,1,15,12,12.0,,,,,,,,,,,,,15.0,,,,,,,,,,,,,Red,KO/TKO,Punches,1.0,3:04,184.0,0.0,0.0,34.0,12.0,68.0,28.0,0.5,0.42,40.0,15.0,74.0,31.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
676,Darren Stewart,-115,-105,86.95652174,95.23809524,10/18/2019,"Boston, Massachusetts, USA", USA,Blue,False,Middleweight,MALE,3,0,1,0,2.94,0.44,0.0,1.38,0.44,2,4,17,0,0,0,1,2,0,0,3,Orthodox,182.88,187.96,185,0,1,0,6.6,0.47,0.0,3.0,0.33,1,0,3,0,0,0,1,0,0,0,1,Orthodox,167.64,177.8,185,30,28,0,0,1,2,-4,14,0,2,0,15.24,10.16,2,-3.66,0.0,-1.62,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,0.0,0.0,29.0,57.0,53.0,119.0,0.54,0.47,66.0,77.0,98.0,140.0,6.0,1.0,15.0,1.0,0.4,1.0,0.0,0.0,1.0,0.0,1.0,0.0
677,Charles Rosa,160,-185,160.0,54.05405405,10/18/2019,"Boston, Massachusetts, USA", USA,Red,False,Featherweight,MALE,3,1,0,0,2.92,0.61,3.1,3.06,0.54,3,1,7,0,0,0,0,0,3,0,3,Orthodox,177.8,180.34,145,1,0,0,3.79,0.36,1.2,2.82,0.34,1,3,15,0,0,0,1,0,1,0,2,Switch,175.26,175.26,145,33,25,0,0,2,1,2,-8,0,0,2,2.54,5.08,8,-0.87,1.9,0.24,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar,1.0,2:46,166.0,0.0,0.0,6.0,27.0,8.0,38.0,0.75,0.71,8.0,37.0,11.0,49.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
678,Molly McCann,-640,470,15.625,470.0,10/18/2019,"Boston, Massachusetts, USA", USA,Red,False,Women's Flyweight,FEMALE,3,0,0,0,6.53,0.38,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,125,0,2,0,6.49,0.49,0.9,2.59,0.33,2,1,8,0,0,0,2,0,0,0,2,Orthodox,162.56,157.48,125,29,23,0,-2,-2,-2,1,-8,0,0,0,7.62,15.24,6,0.04,-0.9,-1.59,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,0.0,0.0,113.0,98.0,238.0,252.0,0.47,0.38,126.0,104.0,252.0,260.0,5.0,1.0,14.0,1.0,0.35,1.0,1.0,0.0,5.0,0.0,0.0,0.0
679,Sean Woodson,-115,-105,86.95652174,95.23809524,10/18/2019,"Boston, Massachusetts, USA", USA,Blue,False,Featherweight,MALE,3,0,0,0,5.27,0.43,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,198.12,145,2,0,0,2.63,0.31,0.0,1.14,0.15,1,4,18,0,0,1,1,0,0,0,2,Orthodox,170.18,177.8,145,32,27,2,0,-1,-2,4,-18,0,0,0,17.78,20.32,5,2.64,0.0,-1.14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,0.0,0.0,42.0,111.0,151.0,251.0,0.27,0.44,52.0,150.0,161.0,290.0,1.0,0.0,15.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
680,Randy Costa,130,-150,130.0,66.66666667,10/18/2019,"Boston, Massachusetts, USA", USA,Red,False,Bantamweight,MALE,3,1,0,0,4.13,0.37,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Southpaw,175.26,175.26,135,1,0,0,8.05,0.46,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,Switch,175.26,185.42,135,25,28,0,0,0,0,0,-1,0,0,0,0.0,-10.16,-3,-3.92,0.0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1.0,2:15,135.0,2.0,0.0,22.0,12.0,44.0,22.0,0.5,0.54,23.0,16.0,45.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
681,Sean Brady,150,-170,150.0,58.82352941,10/18/2019,"Boston, Massachusetts, USA", USA,Blue,False,Welterweight,MALE,3,0,0,0,7.93,0.56,0.0,2.0,0.66,0,0,3,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,170,1,0,0,4.86,0.35,0.4,1.71,0.21,3,7,42,0,0,1,5,0,2,0,8,Orthodox,180.34,190.5,170,34,26,1,0,-3,-8,7,-39,0,0,-2,-2.54,-7.62,8,3.07,-0.4,0.29,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,0.0,1.0,107.0,119.0,291.0,210.0,0.36,0.56,128.0,148.0,313.0,240.0,0.0,2.0,6.0,3.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0
682,Brendan Allen,135,-155,135.0,64.51612903,10/18/2019,"Boston, Massachusetts, USA", USA,Red,False,Middleweight,MALE,3,0,3,0,4.16,0.54,1.1,1.27,0.43,3,1,12,0,0,1,1,0,1,0,3,Orthodox,190.5,205.74,185,0,0,0,2.0,0.53,6.2,3.74,0.42,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,190.5,185,23,26,0,3,3,3,-1,12,0,0,1,2.54,15.24,-3,2.16,-5.1,-2.47,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2.0,3:38,518.0,0.0,0.0,10.0,22.0,22.0,38.0,0.45,0.57,23.0,37.0,41.0,55.0,2.0,1.0,3.0,1.0,0.66,1.0,4.0,1.0,5.0,2.0,2.0,1.0
683,Tanner Boser,125,-145,125.0,68.96551724,10/18/2019,"Boston, Massachusetts, USA", USA,Blue,False,Heavyweight,MALE,3,0,0,0,4.17,0.49,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,190.5,255,1,0,0,2.6,0.35,0.0,0.74,0.66,1,2,6,0,0,0,0,1,0,0,1,Orthodox,200.66,208.28,245,29,28,1,0,-1,-1,2,-6,0,-1,0,-12.7,-17.78,1,1.57,0.0,-0.74,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,0.0,0.0,32.0,93.0,108.0,151.0,0.29,0.61,32.0,93.0,108.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
684,Demian Maia,140,-160,140.0,62.5,10/26/2019,"Kallang, Singapore", Singapore,Red,False,Welterweight,MALE,5,1,0,0,,0.49,0.9,4.33,0.55,1,1,2,0,0,0,1,0,0,0,1,Orthodox,180.34,185.42,170,0,2,0,,0.43,1.0,2.49,0.25,7,9,85,2,1,1,8,1,10,0,21,Southpaw,185.42,182.88,170,41,35,-1,-2,-6,-20,8,-83,-2,-1,-10,-5.08,2.54,6,0.0,-0.1,1.84,0,1,11,10,,,,,,,,10.0,,,,,,,,,,,,,11.0,,,,,,Red,SUB,Rear Naked Choke,3.0,3:54,834.0,0.0,0.0,69.0,63.0,122.0,127.0,0.56,0.49,84.0,102.0,137.0,168.0,0.0,4.0,0.0,7.0,0.0,0.57,1.0,0.0,4.0,1.0,2.0,1.0
